iter	Passed	Remaining
467	729	828
468	734	831
469	735	829
470	736	827
471	737	825
472	738	823
473	739	820
474	740	818
475	741	816
476	742	814
477	743	811
478	744	810
479	748	810
480	750	809
481	751	807
482	752	805
483	754	803
484	755	802
485	756	800
486	757	798
487	758	796
488	765	799
489	766	798
490	768	796
491	769	794
492	770	792
493	771	789
494	772	788
495	773	785
496	774	783
497	775	781
498	777	780
499	779	779
500	780	777
501	782	775
502	783	773
503	784	771
504	785	769
505	786	767
506	787	765
507	788	763
508	788	761
509	789	758
510	793	759
511	794	757
512	795	755
513	796	753
514	797	751
515	798	749
516	799	747
517	800	745
518	802	743
519	802	741
520	803	739
521	806	738
522	807	736
523	809	735
524	810	733
525	811	731
526	812	729
527	813	727
528	814	725
529	815	723
530	816	720
531	817	718
532	818	716
533	819	714
534	821	714
535	824	713
536	825	711
537	826	709
538	827	707
539	828	705
540	829	703
541	830	701
542	831	699
543	832	697
544	833	695
545	834	693
546	836	693
547	838	691
548	839	689
549	840	687
550	841	686
551	842	684
552	844	682
553	845	680
554	846	678
555	846	676
556	847	674
557	849	672
558	852	672
559	853	670
560	854	668
561	855	666
562	856	664
563	857	662
564	858	660
565	859	658
566	860	656
567	860	654
568	861	652
569	862	650
570	864	649
571	866	648
572	868	647
573	869	645
574	870	643
575	871	641
576	872	639
577	873	637
578	875	636
579	875	634
580	876	632
581	877	630
582	881	630
583	883	629
584	884	627
585	885	625
586	886	623
587	887	621
588	887	619
589	888	617
590	889	615
591	890	613
592	891	611
593	892	610
594	894	608
595	896	607
596	897	606
597	899	604
598	900	602
599	901	600
600	902	598
601	903	597
602	903	595
603	904	593
604	905	591
605	906	589
606	907	587
607	910	586
608	912	585
609	913	583
610	914	582
611	915	580
612	916	578
613	917	576
614	918	574
615	919	572
616	920	571
617	921	569
618	921	567
619	922	565
620	925	564
621	926	563
622	928	561
623	929	560
624	930	558
625	931	556
626	933	555
627	934	553
628	935	551
629	936	549
630	937	548
631	938	546
632	940	545
633	942	544
634	943	542
635	944	540
636	945	539
637	946	537
638	947	535
639	948	533
640	949	531
641	950	530
642	951	528
643	952	526
644	956	526
645	957	524
646	959	523
647	961	522
648	962	520
649	963	519
650	965	517
651	966	515
652	967	513
653	969	513
654	971	511
655	973	510
656	975	509
657	976	507
658	977	505
659	978	504
660	979	502
661	980	500
662	981	498
663	982	497
664	985	496
665	987	495
666	988	493
667	989	492
668	990	490
669	992	488
670	993	486
671	993	485
672	994	483
673	996	481
674	999	481
675	1000	479
676	1002	478
677	1003	476
678	1004	474
679	1005	473
680	1006	471
681	1007	469
682	1008	468
683	1009	466
684	1010	464
685	1011	463
686	1014	462
687	1016	460
688	1018	459
689	1020	458
690	1021	456
691	1023	455
692	1024	453
693	1029	453
694	1033	453
695	1040	454
696	1043	453
697	1046	452
698	1050	452
699	1054	451
700	1055	450
701	1060	450
702	1066	450
703	1068	449
704	1077	450
705	1079	449
706	1082	448
707	1084	447
708	1085	445
709	1087	444
710	1088	442
711	1093	442
712	1094	440
713	1096	439
714	1097	437
715	1099	435
716	1101	434
717	1102	432
718	1107	432
719	1109	431
720	1112	430
721	1115	429
722	1117	428
723	1120	427
724	1124	426
725	1126	424
726	1127	423
727	1128	421
728	1129	419
729	1131	418
730	1137	418
731	1139	417
732	1144	416
733	1145	415
734	1146	413
735	1150	412
736	1152	411
737	1153	409
738	1154	407
739	1155	406
740	1157	404
741	1158	402
742	1160	401
743	1164	400
744	1166	399
745	1167	397
746	1169	396
747	1171	394
748	1172	392
749	1174	391
750	1175	389
751	1179	388
752	1181	387
753	1183	386
754	1184	384
755	1185	382
756	1186	381
757	1188	379
758	1189	377
759	1190	376
760	1194	375
761	1196	373
762	1197	371
763	1198	370
764	1199	368
765	1201	366
766	1202	365
767	1203	363
768	1204	361
769	1205	359
770	1206	358
771	1209	357
772	1211	355
773	1212	353
774	1213	352
775	1214	350
776	1215	348
777	1216	347
778	1217	345
779	1218	343
780	1219	341
781	1220	340
782	1223	338
783	1224	337
784	1226	335
785	1227	334
786	1229	332
787	1230	331
788	1231	329
789	1233	327
790	1234	326
791	1235	324
792	1243	324
793	1244	322
794	1245	321
795	1246	319
796	1248	317
797	1249	316
798	1250	314
799	1251	312
800	1253	311
801	1256	310
802	1257	308
803	1258	306
804	1260	305
805	1261	303
806	1262	301
807	1263	300
808	1264	298
809	1265	296
810	1266	295
811	1268	293
812	1271	292
813	1272	290
814	1275	289
815	1276	287
816	1277	286
817	1279	284
818	1280	283
819	1284	281
820	1285	280
821	1286	278
822	1288	277
823	1289	275
824	1290	273
825	1292	272
826	1293	270
827	1294	268
